,Unnamed: 0,patrimonio,fecha_cierre,id
0,0,9.711176264112805,2022-07-31,31479
1,1,9.374845480913043,2022-07-31,7694
2,2,5.780934855510409,2022-07-31,29527
3,3,10.1616948425916,2022-07-31,1768
4,4,11.998053787214904,2022-07-31,11910
5,5,10.938276157842589,2022-07-31,7945
6,6,10.01298327104519,2022-07-31,10883
7,7,9.41791373457633,2022-07-31,23591
8,8,11.687242242752893,2022-07-31,10786
9,9,6.995357647968255,2022-07-31,12533
10,10,10.97047211621725,2022-07-31,20127
11,11,9.6814445828597,2022-07-31,1909
12,12,9.68792543935407,2022-07-31,7190
13,13,6.054880563472734,2022-07-31,8276
14,14,8.227059315749887,2022-07-31,13947
15,15,14.47638510858143,2022-07-31,34186
16,16,12.135018055089136,2022-07-31,24497
17,17,10.499575910606891,2022-07-31,10425
18,18,12.206956408646484,2022-07-31,5633
19,19,10.33378054863738,2022-07-31,29842
20,20,8.894403121861645,2022-07-31,29460
21,21,6.363686507434699,2022-07-31,13426
22,22,7.71486621100902,2022-07-31,23959
23,23,11.294738677205858,2022-07-31,3647
24,24,13.848137927760227,2022-07-31,10193
25,25,12.722100605140234,2022-07-31,2793
26,26,6.706203195211403,2022-07-31,10862
27,27,8.716430860586504,2022-07-31,11446
28,28,9.57231910592159,2022-07-31,12710
29,29,5.436151364675939,2022-07-31,2825
30,30,11.014942750193216,2022-07-31,16004
31,31,11.885785008558798,2022-07-31,16067
32,32,13.67898255495569,2022-07-31,1461
33,33,12.503419301849975,2022-07-31,10942
34,34,10.323724024885426,2022-07-31,11106
35,35,12.926541905430009,2022-07-31,31317
36,36,9.570841795594754,2022-07-31,36766
37,37,13.424679093887573,2022-07-31,14954
38,38,9.10740990136582,2022-07-31,7917
39,39,10.511282733124014,2022-07-31,23447
40,40,9.951681967853876,2022-07-31,23428
41,41,7.964234297116588,2022-07-31,29922
42,42,12.132937649635345,2022-07-31,32872
43,43,6.2726449041407895,2022-07-31,18720
44,44,7.851131076320758,2022-07-31,31896
45,45,7.5782299701282065,2022-07-31,2902
46,46,11.412217030804037,2022-07-31,15207
47,47,10.95630669149702,2022-07-31,32798
48,48,9.79225629329244,2022-07-31,34048
49,49,13.448852692927032,2022-07-31,31299
50,50,11.736077016252436,2022-07-31,17934
51,51,9.340276317846598,2022-07-31,32780
52,52,4.410565499480303,2022-07-31,34978
53,53,6.52775029373102,2022-07-31,22099
54,54,5.450385880170971,2022-07-31,12353
55,55,10.164198065695032,2022-07-31,21245
56,56,9.814120293543562,2022-07-31,19382
57,57,12.397733830110722,2022-07-31,31133
58,58,12.40647148586125,2022-07-31,830
59,59,8.903446529637598,2022-07-31,5752
60,60,9.096196261020031,2022-07-31,17124
61,61,11.734210296654872,2022-07-31,27876
62,62,11.633552096262468,2022-07-31,22722
63,63,9.8122486886662,2022-07-31,4517
64,64,10.809659645618128,2022-07-31,33318
65,65,11.883632054311285,2022-07-31,13295
66,66,13.612315712381662,2022-07-31,31367
67,67,10.529241889185595,2022-07-31,27941
68,68,15.046930070125974,2022-07-31,24207
69,69,10.118086220093543,2022-07-31,11284
70,70,9.40083526421,2022-07-31,28784
71,71,10.203252050123726,2022-07-31,34566
72,72,12.271835039305005,2022-07-31,24781
73,73,10.035248528898228,2022-07-31,7429
74,74,13.148184087209795,2022-07-31,19477
75,75,9.264126416877982,2022-07-31,7526
76,76,6.45790872401275,2022-07-31,3529
77,77,6.972945462741492,2022-07-31,445
78,78,10.707307981787428,2022-07-31,11654
79,79,12.960884993433588,2022-07-31,25316
80,80,11.15022467345294,2022-07-31,30361
81,81,13.557423220480617,2022-07-31,25159
82,82,13.551985272427585,2022-07-31,1659
83,83,11.849044511727245,2022-07-31,27848
84,84,3.5542045507873348,2022-07-31,8139
85,85,2.8599698225399903,2022-07-31,1723
86,86,8.292831648651498,2022-07-31,2307
87,87,12.201059827626189,2022-07-31,11025
88,88,14.18087564628236,2022-07-31,8097
89,89,5.111505744481217,2022-07-31,14102
90,90,8.57058626971372,2022-07-31,223
91,91,12.07363387412049,2022-07-31,22519
92,92,5.987486645738758,2022-07-31,26620
93,93,6.90875477931522,2022-07-31,13045
94,94,10.258446016064878,2022-07-31,5711
95,95,9.479052522836136,2022-07-31,21025
96,96,8.677655226957281,2022-07-31,16256
97,97,9.782399053600324,2022-07-31,12991
98,98,10.612623159292164,2022-07-31,7525
99,99,14.063541750630971,2022-07-31,35277
100,100,11.672571369185484,2022-07-31,36149
101,101,11.485268797112507,2022-07-31,4913
102,102,13.131514791188424,2022-07-31,10235
103,103,7.426957917380232,2022-07-31,17282
104,104,11.362266864065075,2022-07-31,19397
105,105,12.224383710019012,2022-07-31,33802
106,106,13.077947342467985,2022-07-31,34281
107,107,12.26800377274368,2022-07-31,32094
108,108,8.59525214814093,2022-07-31,29499
109,109,11.347867391042511,2022-07-31,23909
110,110,10.115931062034123,2022-07-31,35797
111,111,11.430068794313922,2022-07-31,34251
112,112,12.235654259987246,2022-07-31,23768
113,113,11.117480601112817,2022-07-31,16292
114,114,10.31756774401553,2022-07-31,2438
115,115,9.03853744511694,2022-07-31,23565
116,116,14.55968482643697,2022-07-31,6841
117,117,10.66138726055141,2022-07-31,36388
118,118,8.898062741424091,2022-07-31,1947
119,119,11.604413066203335,2022-07-31,14098
120,120,11.942490474375328,2022-07-31,16500
121,121,6.9511940068674285,2022-07-31,9211
122,122,11.67406541592398,2022-07-31,8285
123,123,12.556205853189107,2022-07-31,36899
124,124,12.433470699758216,2022-07-31,15503
125,125,11.718796394356705,2022-07-31,24747
